K,Regret,ProcessTime,SpaceUsage
100,53.63148228976572,3410970941.0,19630756.0
120,64.50940011602891,3921437807.0,20209156.0
140,75.51122785262295,4635169138.0,20980356.0
160,86.08646540140288,5296356354.0,21558756.0
180,100.67352749254383,5807310372.0,22137156.0
200,111.89889411257715,6416776309.0,22715556.0
220,122.03547928278375,7173331117.0,23293956.0
240,133.73545453876497,7765379211.0,23679556.0
260,142.3140664834526,8237710208.0,24257956.0
280,152.77027289308975,8915477401.0,24643556.0
300,164.24936318785657,9575661785.0,25221956.0
320,177.04429608685547,10003585240.0,25607556.0
340,189.60792556374744,10602131048.0,25993156.0
360,201.15699641018372,11133909623.0,26378756.0
380,211.3356187951257,12183025363.0,26764356.0
400,219.99387397305165,12762337570.0,27342756.0
420,230.5882958656979,13097147855.0,27535556.0
440,240.4873887453104,13665094202.0,27921156.0
460,252.84733552474495,14320418666.0,28306756.0
480,262.47652762603303,15029491981.0,28692356.0
500,272.5057328602701,15658879862.0,29077956.0
520,285.5598878705376,16269081057.0,29463556.0
540,296.5322451386747,17048311067.0,29656356.0
560,311.74517041515116,17853277089.0,30041956.0
580,323.06156628162466,18184548733.0,30427556.0
600,333.51671543243,18784705071.0,30620356.0
620,343.565292483507,19610614516.0,31005956.0
640,352.64955661738236,20373494535.0,31391556.0
660,361.87803934655983,20831584978.0,31584356.0
680,371.3136674046754,21458637514.0,31969956.0
700,378.535111573045,22287781058.0,32162756.0
720,389.3877853463459,22800331986.0,32548356.0
740,405.0281226694253,23296617330.0,32741156.0
760,416.92000915011135,23825727190.0,33126756.0
780,434.09512083868765,24282318036.0,33319556.0
800,447.99746142710336,25198350186.0,33705156.0
820,459.89097929787647,25699726695.0,33897956.0
840,470.2521804595868,25920979447.0,34090756.0
860,480.5344689671839,27155816505.0,34476356.0
880,486.6639881945381,27897704526.0,34669156.0
900,496.2037571943851,28149145404.0,35054756.0
920,505.20145663634946,28672721751.0,35247556.0
940,515.5338072615731,29658542262.0,35440356.0
960,531.6320808920569,30027410384.0,35633156.0
980,538.7877511693578,30776877253.0,36018756.0
1000,554.1836347313342,31469291216.0,36211556.0
1020,567.8887867673083,31927718213.0,36404356.0
1040,575.4141227157979,32839574541.0,36597156.0
1060,585.934027913016,34261211906.0,36982756.0
1080,593.581590749837,33675268772.0,37175556.0
1100,600.4882082359026,35070007004.0,37368356.0
1120,609.5054389882863,35805466978.0,37561156.0
1140,621.0204190234152,35814466310.0,37946756.0
1160,633.8106038209737,36657025300.0,38139556.0
1180,647.8906084629505,37875013755.0,38332356.0
1200,659.8154630582221,38722470819.0,38525156.0
1220,667.0642473176769,38444290705.0,38717956.0
