K,Regret,ProcessTime,SpaceUsage
100,53.609224354516435,3979070041.0,19664000.0
120,64.49448765123026,6683540841.0,23520000.0
140,75.45413680880819,9743574411.0,27376000.0
160,86.03442604134318,19036088752.0,31232000.0
180,97.19242192810522,27698158794.0,35088000.0
200,109.36685495018371,43132967231.0,38944000.0
220,119.88735103771575,66240565872.0,42800000.0
240,131.93709396359,82784212051.0,46656000.0
260,142.45522247957643,108307788608.0,50512000.0
280,154.13140836630174,72474332566.0,54368000.0
300,164.80666942251747,92854077411.0,58224000.0
320,176.26737801755263,120108747664.0,62080000.0
340,186.67329878292148,247154781559.0,65936000.0
360,197.39922292510497,183707880108.0,69792000.0
380,207.9173958697818,224310124009.0,73648000.0
400,219.71976269619435,364344542802.0,77504000.0
420,231.30673375278013,321990120155.0,81360000.0
440,241.628583562787,527913416618.0,85216000.0
460,252.44338932561607,470009487036.0,89072000.0
480,262.5199799149929,521402585927.0,92928000.0
500,273.59481101240766,847138775476.0,96784000.0
520,284.31810266657607,841086173420.0,100640000.0
540,296.6485711539325,843505665838.0,104496000.0
560,307.352563819564,962859558034.0,108352000.0
580,317.77255125125777,1238317088346.0,112208000.0
600,329.15160324767413,1498172079569.0,116064000.0
620,339.3647887637605,1635046978869.0,119920000.0
640,349.85684020798766,1978669614792.0,123776000.0
660,361.68509690458717,1963993533112.0,127632000.0
680,374.18947937762823,2409854170771.0,131488000.0
700,385.5207242368992,2814185168726.0,135344000.0
720,396.73436019523456,3105913664055.0,139200000.0
740,407.50275335691254,3536957703251.0,143056000.0
760,417.71516558057436,3380564150873.0,146912000.0
780,429.28875760283586,4240748152257.0,150768000.0
800,440.4268384125379,4232643551585.0,154624000.0
820,451.8655059760377,5092306443478.0,158480000.0
840,462.96556049156385,5425878240457.0,162336000.0
860,475.2610184816623,5358566337772.0,166192000.0
880,486.02045346802964,6144211767055.0,170048000.0
900,497.8685962126014,6306559151184.0,173904000.0
920,508.0165527829041,7925374113133.0,177760000.0
940,519.2165832803717,7568605896340.0,181616000.0
960,530.1159943513976,8119449469658.0,185472000.0
980,540.727322614203,9272104641935.0,189328000.0
1000,551.1239224766055,9233647998025.0,193184000.0
1020,562.7247650238007,10433797511114.0,197040000.0
1040,573.0572247007572,11251607655403.0,200896000.0
1060,585.9284694994858,10895942932285.0,204752000.0
1080,596.4965092029261,12589432240795.0,208608000.0
1100,607.5110006767601,13475783365718.0,212464000.0
1120,618.239408361074,14820512204187.0,216320000.0
1140,630.2760904647017,14434295321013.0,220176000.0
1160,640.0958378259674,14210367737860.0,224032000.0
1180,650.8040985646011,17036938377514.0,227888000.0
1200,659.8928787664007,19004671976956.0,231744000.0
1220,671.2756660793307,17160024489953.0,235600000.0
1240,681.9492887685528,17394648781297.0,239456000.0
1260,694.4527423930846,19398364955703.0,243312000.0
1280,702.7046105222106,19271850501755.0,247168000.0
1300,715.2587043407237,19069023794113.0,251024000.0
1320,725.7566934534132,21941316625856.0,254880000.0
1340,736.2949473101326,21639072821318.0,258736000.0
1360,746.8244585618982,20829910487174.0,262592000.0
1380,758.4008339870728,26566452675588.0,266448000.0
1400,770.0402196459294,28375606057795.0,270304000.0
1420,781.5448487502632,25024929097929.0,274160000.0
1440,791.1818530871433,26155614381320.0,278016000.0
1460,805.5021461900528,25697871943200.0,281872000.0
1480,815.8109694513313,28267664982371.0,285728000.0
1500,827.2113097931826,30453853061103.0,289584000.0
1520,838.3479412538859,30637738258574.0,293440000.0
1540,850.7399529075196,27353551150231.0,297296000.0
1560,862.0899322574055,32114891846645.0,301152000.0
1580,875.6969226864327,30889361406582.0,305008000.0
1600,886.1452102315894,31740032487618.0,308864000.0
1620,897.8752479556567,33451835593375.0,312720000.0
1640,906.3530255875926,33882600077352.0,316576000.0
1660,916.6737777350977,33572925738290.0,320432000.0
1680,926.6733390353614,33551066489581.0,324288000.0
1700,937.8646203408128,34149621917187.0,328144000.0
1720,948.2109388294954,34521871285672.0,332000000.0
1740,959.9013726565463,31185840510307.0,335856000.0
1760,970.9709940671162,33352615138648.0,339712000.0
1780,983.4621527076536,33887329168236.0,343568000.0
1800,990.7988532757262,33259818168244.0,347424000.0
1820,1003.1981640875457,32870411394101.0,351280000.0
1840,1013.0512404634757,34807172741916.0,355136000.0
1860,1024.027991587973,34234418911684.0,358992000.0
1880,1035.4816278667092,33581167252584.0,362848000.0
1900,1046.6028442454922,33579333996747.0,366704000.0
1920,1055.9989463169657,33245469182396.0,370560000.0
1940,1068.85058585871,31818876457842.0,374416000.0
1960,1079.13920456353,32573291339615.0,378272000.0
1980,1089.4229745381724,32756029826339.0,382128000.0
2000,1099.9511591644136,32211845655873.0,385984000.0
