K,Regret,ProcessTime,SpaceUsage
100,4808.6782918475465,1355678290663.0,3126140800.0
120,5769.07192028118,1515800700145.0,3157272000.0
140,6730.540841184369,1755102611514.0,3219534400.0
160,7691.72500419674,1943969495598.0,3281796800.0
180,8653.382881236903,2000591351650.0,3312928000.0
200,9615.165552600463,2290505082702.0,3375190400.0
220,10575.725758431565,2481325895722.0,3406321600.0
240,11537.51573868923,2519442702409.0,3437452800.0
260,12497.869505472878,2785747671737.0,3499715200.0
280,13461.859665253402,2939662378040.0,3530846400.0
300,14425.778387380378,3050632352564.0,3561977600.0
320,15389.45437697963,3285812787801.0,3593108800.0
340,16351.280065398209,3380612211911.0,3624240000.0
360,17313.094555109645,3557871678854.0,3655371200.0
380,18275.391815628864,3652331580159.0,3686502400.0
400,19236.73200905261,3882476539693.0,3748764800.0
420,20199.006859398884,3970761113413.0,3748764800.0
440,21159.03763629957,3155809293942.0,3779896000.0
460,22118.29052042264,3943654781723.0,3811027200.0
480,23077.3268268153,2812171408349.0,3842158400.0
500,24037.412669674653,3060274670661.0,3873289600.0
