K,Regret,ProcessTime,SpaceUsage
100,53.63148228976573,2924546923.0,22543200.0
120,64.50940011602893,3719735181.0,24085600.0
140,75.51122785262295,4453084044.0,25242400.0
160,86.08646540140288,5348242125.0,26784800.0
180,97.2816845573032,6750525391.0,27941600.0
200,109.41390063562217,6982787134.0,29098400.0
220,119.96177684587595,7819867986.0,29869600.0
240,132.05618852078246,8468957372.0,31026400.0
260,142.6247552919129,9626006616.0,32183200.0
280,154.3050097823096,9688636789.0,32954400.0
300,164.93587868879382,11518988182.0,34111200.0
320,176.4082942286062,12986464461.0,34882400.0
340,186.78214985785036,12824073451.0,36039200.0
360,197.54670713540685,14124357573.0,36810400.0
380,208.02177541645582,13918501948.0,37581600.0
400,219.8219199401681,15209294171.0,38352800.0
420,231.36387056609468,16834876643.0,39124000.0
440,241.647722543226,17486334000.0,40280800.0
460,252.4586648011674,19469269587.0,41052000.0
480,262.5253826789591,21018080318.0,41823200.0
500,273.60678109737165,20860866835.0,42594400.0
520,284.3179662237381,22596906979.0,43365600.0
540,296.6190762657621,24547913245.0,44136800.0
560,307.30353533043865,24221130457.0,44908000.0
580,317.74740999825593,25849161115.0,45679200.0
600,329.1785671216957,25957777044.0,46064800.0
620,339.35560673148717,25782460767.0,46836000.0
640,349.9727976197431,27911682866.0,47607200.0
660,361.7960703232631,29427390199.0,48378400.0
680,374.3630753085721,29244245423.0,49149600.0
700,385.69088462809134,31084620609.0,49535200.0
720,396.8662160270232,33810552704.0,50306400.0
740,409.5477072601858,35333418029.0,51077600.0
760,421.7141778311254,34271876408.0,51848800.0
780,432.796343726145,34636368880.0,52234400.0
800,444.2490981304764,37126134001.0,53005600.0
820,454.021610001751,36539592983.0,53776800.0
840,463.7177884827665,39262378753.0,54162400.0
860,475.0297792123567,41157188393.0,54933600.0
880,484.80390147929245,42327355052.0,55319200.0
900,496.9941669795152,41216908749.0,56090400.0
920,506.73468546043534,43527777350.0,56861600.0
940,518.0964444095715,46301788044.0,57247200.0
960,527.9687187306471,49241656749.0,58018400.0
980,541.1516777270203,45837119569.0,58404000.0
1000,551.9162350045766,48913955322.0,59175200.0
1020,562.801176860734,52558666131.0,59560800.0
1040,572.8939137993619,55179979436.0,60332000.0
1060,584.3313020999087,51665112986.0,60717600.0
1080,594.6151540770402,54262283426.0,61488800.0
1100,605.4754936186507,57610582252.0,61874400.0
1120,616.7501372215715,60970361632.0,62645600.0
1140,627.8315356399845,58150786393.0,63031200.0
1160,638.9159478750744,60243104522.0,63416800.0
